ms	datetime	channel	type	magnitude	minute_total	baseline	organic_n
1540659685000	2018-10-27 17:01:25 UTC	pdp	minor	91	183	3.8	60
1540659701000	2018-10-27 17:01:41 UTC	pdp	minor	92	183	2.3	59
1540662533000	2018-10-27 17:48:53 UTC	pdp	minor	83	83	3.2	60
1540664677000	2018-10-27 18:24:37 UTC	pdp	audit	23045	23045	4.5	60
1540664882000	2018-10-27 18:28:02 UTC	pdp	audit	-700	-617	4.6	60
1540664916000	2018-10-27 18:28:36 UTC	pdp	audit	83	-617	3.4	59
1540665497000	2018-10-27 18:38:17 UTC	ts	audit	10247	10247	1.5	60
1540670095000	2018-10-27 19:54:55 UTC	pdp	minor	101	101	2.6	60
1540675667000	2018-10-27 21:27:47 UTC	pdp	minor	74	74	2.2	60
1540675885000	2018-10-27 21:31:25 UTC	pdp	minor	85	85	2.1	60
1540677739000	2018-10-27 22:02:19 UTC	pdp	minor	72	72	2.7	60
1540680121000	2018-10-27 22:42:01 UTC	pdp	audit	6063	6063	2.5	60
1540680236000	2018-10-27 22:43:56 UTC	ts	audit	6708	6708	0.5	60
1540685084000	2018-10-28 00:04:44 UTC	pdp	minor	54	54	2.0	60
1540691485000	2018-10-28 01:51:25 UTC	pdp	minor	51	51	2.3	60
1540698974000	2018-10-28 03:56:14 UTC	ts	minor	54	54	1.7	60
1540699687000	2018-10-28 04:08:07 UTC	pdp	minor	63	63	1.4	60
1540703363000	2018-10-28 05:09:23 UTC	pdp	minor	-57	-57	2.6	60
1540704875000	2018-10-28 05:34:35 UTC	ts	minor	-155	89	1.6	60
1540704896000	2018-10-28 05:34:56 UTC	ts	minor	244	89	0.8	59
1540706551000	2018-10-28 06:02:31 UTC	ts	minor	52	52	1.7	60
1540711660000	2018-10-28 07:27:40 UTC	ts	minor	83	83	0.9	60
1540712854000	2018-10-28 07:47:34 UTC	ts	minor	63	63	1.5	60
1540713096000	2018-10-28 07:51:36 UTC	ts	minor	55	55	2.5	60
1540713497000	2018-10-28 07:58:17 UTC	ts	minor	52	104	1.2	60
1540713527000	2018-10-28 07:58:47 UTC	ts	minor	52	104	0.6	59
1540715893000	2018-10-28 08:38:13 UTC	ts	minor	88	88	1.0	60
1540718871000	2018-10-28 09:27:51 UTC	ts	minor	73	73	1.3	60
1540720597000	2018-10-28 09:56:37 UTC	ts	minor	53	53	1.6	60
1540726086000	2018-10-28 11:28:06 UTC	pdp	minor	61	61	1.5	60
1540739813000	2018-10-28 15:16:53 UTC	pdp	minor	179	179	3.3	60
1540749900000	2018-10-28 18:05:00 UTC	pdp	minor	87	87	2.4	60
1540752002000	2018-10-28 18:40:02 UTC	pdp	audit	-3087	-3087	3.8	60
1540752015000	2018-10-28 18:40:15 UTC	ts	audit	1190	1190	1.3	60
1540754528000	2018-10-28 19:22:08 UTC	pdp	minor	125	125	3.0	60
1540784072000	2018-10-29 03:34:32 UTC	ts	minor	106	106	1.6	60
1540784100000	2018-10-29 03:35:00 UTC	pdp	minor	127	127	2.3	60
1540794383000	2018-10-29 06:26:23 UTC	pdp	minor	93	93	-1.4	60
1540794643000	2018-10-29 06:30:43 UTC	pdp	minor	95	95	-0.4	60
1540794681000	2018-10-29 06:31:21 UTC	pdp	minor	-65	-65	0.2	59
1540802174000	2018-10-29 08:36:14 UTC	pdp	minor	114	114	0.8	60
1540803034000	2018-10-29 08:50:34 UTC	pdp	minor	51	51	1.9	60
1540804680000	2018-10-29 09:18:00 UTC	ts	minor	71	71	0.7	60
1540805876000	2018-10-29 09:37:56 UTC	pdp	minor	89	89	0.6	60
1540811222000	2018-10-29 11:07:02 UTC	pdp	minor	-79	-79	1.1	60
1540811347000	2018-10-29 11:09:07 UTC	pdp	minor	62	62	1.7	60
1540822532000	2018-10-29 14:15:32 UTC	ts	minor	52	52	1.7	60
1540824739000	2018-10-29 14:52:19 UTC	ts	minor	105	105	0.8	60
1540825185000	2018-10-29 14:59:45 UTC	pdp	minor	296	88	2.9	60
1540825198000	2018-10-29 14:59:58 UTC	pdp	minor	-208	88	3.1	59
1540825647000	2018-10-29 15:07:27 UTC	pdp	minor	299	99	2.2	60
1540825669000	2018-10-29 15:07:49 UTC	pdp	minor	-200	99	1.6	59
1540826148000	2018-10-29 15:15:48 UTC	pdp	minor	-281	-281	7.0	60
1540828939000	2018-10-29 16:02:19 UTC	pdp	minor	348	58	1.2	60
1540828951000	2018-10-29 16:02:31 UTC	pdp	minor	-290	58	1.2	59
1540831404000	2018-10-29 16:43:24 UTC	pdp	minor	-89	-89	2.1	60
1540831594000	2018-10-29 16:46:34 UTC	pdp	minor	100	100	1.9	60
1540833047000	2018-10-29 17:10:47 UTC	pdp	minor	56	56	0.7	60
1540835909000	2018-10-29 17:58:29 UTC	pdp	audit	12454	12454	1.6	60
1540836480000	2018-10-29 18:08:00 UTC	ts	minor	-285	-285	6.6	60
1540836566000	2018-10-29 18:09:26 UTC	ts	audit	7877	7877	2.0	60
1540837864000	2018-10-29 18:31:04 UTC	ts	minor	82	82	0.1	60
1540838890000	2018-10-29 18:48:10 UTC	pdp	minor	86	86	2.7	60
1540839565000	2018-10-29 18:59:25 UTC	pdp	minor	-261	-261	10.2	60
1540840464000	2018-10-29 19:14:24 UTC	pdp	minor	337	337	5.4	60
1540840537000	2018-10-29 19:15:37 UTC	ts	minor	297	297	1.0	60
1540840547000	2018-10-29 19:15:47 UTC	pdp	minor	90	90	2.0	60
1540841282000	2018-10-29 19:28:02 UTC	pdp	minor	306	37	5.9	60
1540841295000	2018-10-29 19:28:15 UTC	pdp	minor	-269	37	5.7	59
1540842595000	2018-10-29 19:49:55 UTC	ts	minor	-287	-287	2.0	60
1540843901000	2018-10-29 20:11:41 UTC	pdp	minor	321	72	4.7	60
1540843917000	2018-10-29 20:11:57 UTC	pdp	minor	-249	72	5.0	59
1540845688000	2018-10-29 20:41:28 UTC	pdp	minor	335	335	5.4	60
1540845688000	2018-10-29 20:41:28 UTC	ts	minor	59	59	0.6	60
1540846328000	2018-10-29 20:52:08 UTC	pdp	minor	318	36	5.2	60
1540846342000	2018-10-29 20:52:22 UTC	pdp	minor	-282	36	5.8	59
1540846503000	2018-10-29 20:55:03 UTC	pdp	minor	330	55	5.4	60
1540846519000	2018-10-29 20:55:19 UTC	pdp	minor	-275	55	5.4	59
1540847541000	2018-10-29 21:12:21 UTC	pdp	minor	292	51	5.8	60
1540847553000	2018-10-29 21:12:33 UTC	pdp	minor	-241	51	5.8	59
1540848054000	2018-10-29 21:20:54 UTC	pdp	minor	300	300	6.3	60
1540848070000	2018-10-29 21:21:10 UTC	pdp	minor	-244	-244	5.9	59
1540850692000	2018-10-29 22:04:52 UTC	pdp	minor	95	95	4.0	60
1540850938000	2018-10-29 22:08:58 UTC	ts	minor	304	304	0.4	60
1540850981000	2018-10-29 22:09:41 UTC	ts	minor	-301	-301	0.3	59
1540851030000	2018-10-29 22:10:30 UTC	ts	minor	301	301	0.5	59
1540851073000	2018-10-29 22:11:13 UTC	pdp	minor	305	36	4.8	60
1540851094000	2018-10-29 22:11:34 UTC	pdp	minor	-269	36	4.3	59
1540851161000	2018-10-29 22:12:41 UTC	ts	minor	-292	-292	0.2	60
1540852400000	2018-10-29 22:33:20 UTC	pdp	minor	304	304	2.9	60
1540853785000	2018-10-29 22:56:25 UTC	ts	minor	-259	-259	0.3	60
1540853802000	2018-10-29 22:56:42 UTC	pdp	minor	299	299	3.9	60
1540853826000	2018-10-29 22:57:06 UTC	pdp	minor	-282	-282	4.0	59
1540853847000	2018-10-29 22:57:27 UTC	ts	minor	300	300	-0.2	60
1540855134000	2018-10-29 23:18:54 UTC	pdp	audit	-11466	-11466	4.0	60
1540855358000	2018-10-29 23:22:38 UTC	pdp	minor	287	11	4.2	60
1540855369000	2018-10-29 23:22:49 UTC	pdp	minor	-276	11	4.5	59
1540855659000	2018-10-29 23:27:39 UTC	ts	audit	3330	3330	0.5	60
1540856775000	2018-10-29 23:46:15 UTC	pdp	minor	103	103	3.0	60
1540860077000	2018-10-30 00:41:17 UTC	pdp	minor	100	100	2.8	60
1540863654000	2018-10-30 01:40:54 UTC	pdp	minor	-299	-299	6.1	60
1540870472000	2018-10-30 03:34:32 UTC	ts	minor	53	53	1.3	60
1540870500000	2018-10-30 03:35:00 UTC	pdp	minor	88	88	3.0	60
1540877342000	2018-10-30 05:29:02 UTC	ts	minor	59	59	0.3	60
1540883560000	2018-10-30 07:12:40 UTC	pdp	minor	-132	-132	1.9	60
1540903040000	2018-10-30 12:37:20 UTC	pdp	minor	53	53	1.5	60
1540916124000	2018-10-30 16:15:24 UTC	pdp	minor	-78	-78	2.2	60
1540916160000	2018-10-30 16:16:00 UTC	pdp	minor	140	140	2.6	59
1540924802000	2018-10-30 18:40:02 UTC	pdp	audit	-1317	-1317	2.8	60
1540924815000	2018-10-30 18:40:15 UTC	ts	minor	366	366	1.0	60
1540926864000	2018-10-30 19:14:24 UTC	pdp	minor	65	65	2.1	60
1540926937000	2018-10-30 19:15:37 UTC	ts	minor	153	4	1.0	60
1540926958000	2018-10-30 19:15:58 UTC	ts	minor	-149	4	1.1	59
1540927682000	2018-10-30 19:28:02 UTC	pdp	minor	58	7	2.3	60
1540927695000	2018-10-30 19:28:15 UTC	pdp	minor	-51	7	2.3	59
1540928376000	2018-10-30 19:39:36 UTC	pdp	audit	7799	7799	2.3	60
1540930301000	2018-10-30 20:11:41 UTC	pdp	minor	96	19	3.2	60
1540930317000	2018-10-30 20:11:57 UTC	pdp	minor	-77	19	3.2	59
1540930396000	2018-10-30 20:13:16 UTC	ts	audit	-5034	-5034	0.7	60
1540932088000	2018-10-30 20:41:28 UTC	pdp	minor	101	101	3.4	60
1540932728000	2018-10-30 20:52:08 UTC	pdp	minor	97	15	3.0	60
1540932742000	2018-10-30 20:52:22 UTC	pdp	minor	-82	15	3.3	59
1540932903000	2018-10-30 20:55:03 UTC	pdp	minor	93	17	3.5	60
1540932919000	2018-10-30 20:55:19 UTC	pdp	minor	-76	17	3.5	59
1540933941000	2018-10-30 21:12:21 UTC	pdp	minor	90	19	3.1	60
1540933953000	2018-10-30 21:12:33 UTC	pdp	minor	-71	19	3.1	59
1540938800000	2018-10-30 22:33:20 UTC	pdp	minor	90	90	2.2	60
1540944399000	2018-10-31 00:06:39 UTC	pdp	minor	58	58	1.4	60
1540946138000	2018-10-31 00:35:38 UTC	ts	minor	96	96	-0.7	60
1540977845000	2018-10-31 09:24:05 UTC	pdp	minor	-74	107	1.1	60
1540977866000	2018-10-31 09:24:26 UTC	pdp	minor	181	107	1.1	59
1540987708000	2018-10-31 12:08:28 UTC	pdp	minor	166	166	1.0	60
1540996571000	2018-10-31 14:36:11 UTC	ts	minor	75	75	1.0	60
1541009386000	2018-10-31 18:09:46 UTC	ts	audit	12756	12756	1.8	60
1541009400000	2018-10-31 18:10:00 UTC	pdp	minor	68	68	2.0	60
1541009567000	2018-10-31 18:12:47 UTC	pdp	audit	7373	7373	2.5	60
1541016652000	2018-10-31 20:10:52 UTC	pdp	minor	55	55	1.8	60
1541016711000	2018-10-31 20:11:51 UTC	pdp	minor	-111	-111	2.4	59
1541023735000	2018-10-31 22:08:55 UTC	pdp	minor	90	90	1.2	60
1541036454000	2018-11-01 01:40:54 UTC	pdp	minor	-62	-62	2.0	60
1541098263000	2018-11-01 18:51:03 UTC	ts	audit	3608	3608	1.2	60
1541098304000	2018-11-01 18:51:44 UTC	pdp	audit	1243	1243	1.5	60
1541103111000	2018-11-01 20:11:51 UTC	pdp	minor	-100	-100	3.0	60
1541115414000	2018-11-01 23:36:54 UTC	pdp	minor	68	68	0.7	60
1541146547000	2018-11-02 08:15:47 UTC	pdp	minor	-55	-55	1.7	60
1541164959000	2018-11-02 13:22:39 UTC	ts	minor	52	52	1.2	60
1541165806000	2018-11-02 13:36:46 UTC	pdp	minor	97	97	1.0	60
1541166775000	2018-11-02 13:52:55 UTC	ts	minor	72	72	1.4	60
1541183115000	2018-11-02 18:25:15 UTC	ts	audit	8005	8059	1.0	60
1541183117000	2018-11-02 18:25:17 UTC	ts	audit	54	8059	1.2	59
1541183199000	2018-11-02 18:26:39 UTC	pdp	audit	1824	1824	1.3	60
1541189519000	2018-11-02 20:11:59 UTC	ts	minor	61	61	-0.2	60
1541194301000	2018-11-02 21:31:41 UTC	pdp	minor	51	51	2.4	60
1541196526000	2018-11-02 22:08:46 UTC	pdp	minor	58	58	2.9	60
1541221640000	2018-11-03 05:07:20 UTC	pdp	minor	-81	-22	1.3	60
1541221651000	2018-11-03 05:07:31 UTC	pdp	minor	59	-22	1.7	59
1541251733000	2018-11-03 13:28:53 UTC	ts	minor	62	62	1.3	60
1541254502000	2018-11-03 14:15:02 UTC	ts	minor	51	51	2.2	60
1541265135000	2018-11-03 17:12:15 UTC	ts	minor	51	51	1.5	60
1541269887000	2018-11-03 18:31:27 UTC	pdp	audit	-1214	-1214	1.4	60
1541269933000	2018-11-03 18:32:13 UTC	ts	audit	2034	2034	1.2	60
1541292131000	2018-11-04 00:42:11 UTC	ts	minor	55	55	0.5	60
1541337326000	2018-11-04 13:15:26 UTC	ts	minor	53	53	1.3	60
1541337387000	2018-11-04 13:16:27 UTC	ts	minor	58	58	1.6	60
1541347861000	2018-11-04 16:11:01 UTC	ts	minor	152	152	1.5	60
1541356931000	2018-11-04 18:42:11 UTC	pdp	minor	72	72	3.0	60
1541360743000	2018-11-04 19:45:43 UTC	ts	audit	9316	9316	0.8	60
1541433903000	2018-11-05 16:05:03 UTC	pdp	minor	83	83	0.1	60
1541436787000	2018-11-05 16:53:07 UTC	ts	minor	52	52	1.4	60
1541438290000	2018-11-05 17:18:10 UTC	ts	minor	78	78	2.3	60
1541439148000	2018-11-05 17:32:28 UTC	pdp	minor	63	63	1.6	60
1541439148000	2018-11-05 17:32:28 UTC	ts	minor	78	78	1.7	60
1541439206000	2018-11-05 17:33:26 UTC	pdp	minor	61	61	1.4	59
1541446195000	2018-11-05 19:29:55 UTC	ts	audit	5609	5609	0.7	60
1541446493000	2018-11-05 19:34:53 UTC	pdp	minor	84	497	1.5	60
1541446494000	2018-11-05 19:34:54 UTC	pdp	minor	65	497	1.5	59
1541446495000	2018-11-05 19:34:55 UTC	pdp	minor	67	497	1.5	58
1541446496000	2018-11-05 19:34:56 UTC	pdp	minor	57	497	1.4	57
1541446497000	2018-11-05 19:34:57 UTC	pdp	minor	55	497	1.4	56
